,25-54,16+
2011-04-01,879.902047712154,855.3651890535117
2011-05-01,879.2183255040067,854.7217963332554
2011-06-01,880.2297934790134,855.5159584640056
2011-07-01,880.0664126780554,855.063397066775
2011-08-01,877.4048606880664,850.6955217525084
2011-09-01,877.5374607395141,849.8344896799118
2011-10-01,876.1707074126101,849.1529942127536
2011-11-01,874.0178294803119,846.739878690018
2011-12-01,873.6213245777599,846.3973649907178
2012-01-01,874.3186337540918,845.1503995064909
2012-02-01,872.9541597887828,843.137757370103
2012-03-01,873.9468373296368,842.6157876035164
2012-04-01,875.1544425596365,842.2562448889024
2012-05-01,874.957407286904,841.0597431416494
2012-06-01,874.6477148689596,840.7552903401325
2012-07-01,874.0763186406299,840.5936855521414
2012-08-01,873.2662716588574,841.2207407997776
2012-09-01,871.8595677048855,839.8681421966354
2012-10-01,871.6801658139033,838.4670718582211
2012-11-01,870.3856642907131,837.2223600998665
2012-12-01,870.1754474528452,836.9732492278946
2013-01-01,868.9638937274249,835.8082948876385
2013-02-01,868.2076481556156,834.4197802044304
2013-03-01,867.7375966673463,833.3719099700824
2013-04-01,866.9187283863395,832.5845374103337
2013-05-01,865.9193729881323,831.6236197191301
2013-06-01,864.6772320721167,830.5992741010203
2013-07-01,863.3655472042159,829.322794550953
2013-08-01,864.6900589509964,830.0089810146939
2013-09-01,864.5332394406483,829.2577431079256
2013-10-01,863.2161531689839,828.5871235103986
2013-11-01,863.0227640756863,830.4815685020527
2013-12-01,862.6791784518691,830.1850869514229
2014-01-01,862.2386888709387,831.8309124574488
2014-02-01,862.977045046067,833.7977038506747
2014-03-01,863.643253243622,835.440318628664
2014-04-01,864.5151980312395,836.7871148885437
2014-05-01,863.0058655627868,835.3358351201588
2014-06-01,861.558206631355,835.0958476025681
2014-07-01,860.7529836376754,835.3626338345181
2014-08-01,860.2301182493726,835.7878654464974
2014-09-01,860.7930766394901,837.3582748145708
2014-10-01,859.6581559870539,836.267006047729
2014-11-01,860.4561867340875,835.383341799823
2014-12-01,863.328878350157,836.2942409871913
2015-01-01,868.5689517351188,836.4483467542294
2015-02-01,870.5055099102428,836.5229431073934
2015-03-01,870.4792614054928,836.5229431073934
2015-04-01,869.403300372425,836.611885511923
2015-05-01,873.2248531144779,839.2931200552713
2015-06-01,875.1192501362453,840.5713830563923
2015-07-01,875.3182999930664,841.1119801737559
2015-08-01,880.1716372534862,842.685711607226
2015-09-01,880.1670541780805,842.6812777317308
2015-10-01,885.7691863211958,845.9614033434963
2015-11-01,887.5630130959515,846.3301680012856
2015-12-01,888.7591425850072,847.7056883518981
2016-01-01,886.6059073420164,847.6405106925918
2016-02-01,887.5936034166228,850.4537566438879
2016-03-01,889.8553813768273,852.0289121586685
2016-04-01,893.608127475467,852.7164631953783
2016-05-01,894.7196523890235,852.9310818704171
2016-06-01,896.9789112587423,852.8808574305664
2016-07-01,901.087782624606,853.3595422716088
2016-08-01,900.3969085075045,853.4803779128937
2016-09-01,903.9167260735148,855.1055590150322
2016-10-01,905.709976056407,858.9032870730747
2016-11-01,905.7132884585234,860.5660671603606
2016-12-01,904.9909856987168,860.3776716908882
2017-01-01,904.2859635213599,861.6967180812723
2017-02-01,906.9048889640168,863.4909245266778
2017-03-01,908.565313813816,864.8718917117843
2017-04-01,909.9317175015927,867.4743671408655
2017-05-01,913.4590148717351,870.8374814099667
2017-06-01,913.4891388999143,872.4591043952968
2017-07-01,913.1215425146651,874.8691989981954
2017-08-01,912.7833052645161,875.9790747098535
2017-09-01,914.5061601582325,878.5761002292301
2017-10-01,912.8748172870893,877.1214885459079
2017-11-01,912.712203074694,876.0293336032028
2017-12-01,911.30669383935,875.3792595598561
2018-01-01,912.6541083457746,876.2915306330391
2018-02-01,911.1748512347463,874.2900875561294
2018-03-01,911.0733625735947,873.7733753488884
2018-04-01,909.252495423767,872.984217555424
